"ORDESTOK,N,6,0","GRARARTI,C,10","CODIDEPO,C,2","ANTESTOK,N,12,2","ACTUSTOK,N,12,2","MINISTOK,N,12,2","MAXISTOK,N,12,2","PEDISTOK,N,12,2","INGRSTOK,N,12,2","EGRESTOK,N,12,2","AUXISTOK,N,8,2","UBICSTOK,C,5","CAPESTOK,N,12,2","CODIARTI,C,10","UBICSTO1,C,5","CODIPAPE,C,2","CODITIDE,C,1","VEPRSTOK,N,12,2","STOCKP,N,12,2"
320,08008,01,0,0,0,0,0,0,0,0,,0,,,,,,
321,08006,01,0,0,0,0,0,0,0,0,,0,,,,,,
322,08007,01,0,0,0,0,0,0,0,0,,0,,,,,,
323,08013,01,0,0,0,0,0,0,0,0,,0,,,,,,
324,08014,01,0,0,0,0,0,0,0,0,,0,,,,,,
325,08015,01,0,0,0,0,0,0,0,0,,0,,,,,,
326,08016,01,0,0,0,0,0,0,0,0,,0,,,,,,
327,08017,01,0,0,0,0,0,0,0,0,,0,,,,,,
328,07070,01,0,0,0,0,0,0,0,0,,0,,,,,,
329,07071,01,0,0,0,0,0,0,0,0,,0,,,,,,
330,07072,01,0,0,0,0,0,0,0,0,,0,,,,,,
331,07075,01,0,0,0,0,0,0,0,0,,0,,,,,,
332,07076,01,0,0,0,0,0,0,0,0,,0,,,,,,
333,07080,01,0,0,0,0,0,0,0,0,,0,,,,,,
334,07081,01,0,0,0,0,0,0,0,0,,0,,,,,,
335,07085,01,0,0,0,0,0,0,0,0,,0,,,,,,
336,07086,01,0,0,0,0,0,0,0,0,,0,,,,,,
337,07090,01,0,0,0,0,0,0,0,0,,0,,,,,,
338,07088,01,0,0,0,0,0,0,0,0,,0,,,,,,
339,07091,01,0,0,0,0,0,0,0,0,,0,,,,,,
340,07095,01,0,0,0,0,0,0,0,0,,0,,,,,,
341,07096,01,0,0,0,0,0,0,0,0,,0,,,,,,
342,07100,01,0,0,0,0,0,0,0,0,,0,,,,,,
343,07110,01,0,0,0,0,0,0,0,0,,0,,,,,,
344,04021,01,0,0,0,0,0,0,0,0,,0,,,,,,
345,04022,01,0,0,0,0,0,0,0,0,,0,,,,,,
346,97005,01,0,0,0,0,0,0,0,0,,0,,,,,,
347,97006,01,0,0,0,0,0,0,0,0,,0,,,,,,
348,97007,01,0,0,0,0,0,0,0,0,,0,,,,,,
349,97008,01,0,0,0,0,0,0,0,0,,0,,,,,,
350,07132,01,0,0,0,0,0,0,0,0,,0,,,,,,
351,07123,01,0,0,0,0,0,0,0,0,,0,,,,,,
352,07124,01,0,0,0,0,0,0,0,0,,0,,,,,,
353,07125,01,0,0,0,0,0,0,0,0,,0,,,,,,
354,10100,01,0,0,0,0,0,0,0,0,,0,,,,,,
355,10101,01,0,0,0,0,0,0,0,0,,0,,,,,,
356,10115,01,0,0,0,0,0,0,0,0,,0,,,,,,
357,10120,01,0,0,0,0,0,0,0,0,,0,,,,,,
358,10121,01,0,0,0,0,0,0,0,0,,0,,,,,,
359,10125,01,0,0,0,0,0,0,0,0,,0,,,,,,
360,10126,01,0,0,0,0,0,0,0,0,,0,,,,,,
361,10127,01,0,0,0,0,0,0,0,0,,0,,,,,,
362,6143112230,01,0,0,0,0,0,0,0,0,,0,,,,,,
363,05053,01,0,0,0,0,0,0,0,0,,0,,,,,,
364,05051,01,0,0,0,0,0,0,0,0,,0,,,,,,
365,05052,01,0,0,0,0,0,0,0,0,,0,,,,,,
366,05060,01,0,0,0,0,0,0,0,0,,0,,,,,,
367,05061,01,0,0,0,0,0,0,0,0,,0,,,,,,
368,05062,01,0,0,0,0,0,0,0,0,,0,,,,,,
369,05063,01,0,0,0,0,0,0,0,0,,0,,,,,,
370,07024,01,0,0,0,0,0,0,0,0,,0,,,,,,
371,07049,01,0,0,0,0,0,0,0,0,,0,,,,,,
372,07099,01,0,0,0,0,0,0,0,0,,0,,,,,,
373,07118,01,0,0,0,0,0,0,0,0,,0,,,,,,
374,10025,01,0,0,0,0,0,0,0,0,,0,,,,,,
375,10026,01,0,0,0,0,0,0,0,0,,0,,,,,,
376,10027,01,0,0,0,0,0,0,0,0,,0,,,,,,
377,10030,01,0,0,0,0,0,0,0,0,,0,,,,,,
378,10031,01,0,0,0,0,0,0,0,0,,0,,,,,,
379,10032,01,0,0,0,0,0,0,0,0,,0,,,,,,
380,10033,01,0,0,0,0,0,0,0,0,,0,,,,,,
381,10040,01,0,0,0,0,0,0,0,0,,0,,,,,,
382,10041,01,0,0,0,0,0,0,0,0,,0,,,,,,
383,10042,01,0,0,0,0,0,0,0,0,,0,,,,,,
384,10043,01,0,0,0,0,0,0,0,0,,0,,,,,,
385,12151,01,0,0,0,0,0,0,0,0,,0,,,,,,
386,12152,01,0,0,0,0,0,0,0,0,,0,,,,,,
387,12153,01,0,0,0,0,0,0,0,0,,0,,,,,,
388,12154,01,0,0,0,0,0,0,0,0,,0,,,,,,
389,12155,01,0,0,0,0,0,0,0,0,,0,,,,,,
390,07141,01,0,0,0,0,0,0,0,0,,0,,,,,,
391,07142,01,0,0,0,0,0,0,0,0,,0,,,,,,
392,07143,01,0,0,0,0,0,0,0,0,,0,,,,,,
393,97004,01,0,0,0,0,0,0,0,0,,0,,,,,,
394,07026,01,0,0,0,0,0,0,0,0,,0,,,,,,
395,07150,01,0,0,0,0,0,0,0,0,,0,,,,,,
396,01029,01,0,0,0,0,0,0,0,0,,0,,,,,,
397,01005,01,0,0,0,0,0,0,0,0,,0,,,,,,
398,01065,01,0,0,0,0,0,0,0,0,,0,,,,,,
399,97009,01,0,0,0,0,0,0,0,0,,0,,,,,,
400,09331,01,0,0,0,0,0,0,0,0,,0,,,,,,
401,07028,01,0,0,0,0,0,0,0,0,,0,,,,,,
402,07160,01,0,0,0,0,0,0,0,0,,0,,,,,,
403,07121,01,0,0,0,0,0,0,0,0,,0,,,,,,
404,07122,01,0,0,0,0,0,0,0,0,,0,,,,,,
